game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result,home_1,away_1,home_2,away_2,home_3,away_3,home_4,away_4,home_5,away_5,home_6,away_6,home_7,away_7,home_8,away_8,home_9,away_9
178494,2026-05-02,2026-05-02 13:35:00,New York Yankees,Baltimore Orioles,1.63,2.43,8.5,1.9,1.97,9.0,4.0,Finished,New York Yankees,Over,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,,0.0
178502,2026-05-02,2026-05-02 14:10:00,Minnesota Twins,Toronto Blue Jays,2.12,1.81,7.5,1.87,2.0,4.0,11.0,Finished,Toronto Blue Jays,Over,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
178507,2026-05-02,2026-05-02 14:20:00,Chicago Cubs,Arizona Diamondbacks,1.61,2.49,7.5,1.98,1.91,2.0,0.0,Finished,Chicago Cubs,Under,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0
178495,2026-05-02,2026-05-02 16:05:00,Washington Nationals,Milwaukee Brewers,2.17,1.78,7.5,2.0,1.88,1.0,4.0,Finished,Milwaukee Brewers,Under,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
178500,2026-05-02,2026-05-02 16:05:00,Pittsburgh Pirates,Cincinnati Reds,1.78,2.16,8.0,1.88,2.0,17.0,7.0,Finished,Pittsburgh Pirates,Over,5.0,2.0,5.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,,0.0
178501,2026-05-02,2026-05-02 16:05:00,Athletics,Cleveland Guardians,1.76,2.18,10.0,1.88,2.0,6.0,14.0,Finished,Cleveland Guardians,Over,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,1.0,3.0,0.0,2.0
178503,2026-05-02,2026-05-02 16:10:00,Miami Marlins,Philadelphia Phillies,1.85,1.95,8.5,1.91,1.87,4.0,0.0,Finished,Miami Marlins,Under,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0
178508,2026-05-02,2026-05-02 16:10:00,Boston Red Sox,Houston Astros,1.83,2.09,9.0,1.92,1.95,3.0,6.0,Finished,Houston Astros,Push,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
178496,2026-05-02,2026-05-02 18:10:00,Tampa Bay Rays,San Francisco Giants,1.95,1.85,8.0,1.92,1.84,,,,,,,,,,,,,,,,,,,,,,,
178497,2026-05-02,2026-05-02 19:15:00,St. Louis Cardinals,Los Angeles Dodgers,2.29,1.7,8.5,1.84,2.04,3.0,2.0,Finished,St. Louis Cardinals,Under,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0
178505,2026-05-02,2026-05-02 19:15:00,Detroit Tigers,Texas Rangers,1.78,2.17,8.5,1.99,1.88,5.0,1.0,Finished,Detroit Tigers,Under,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
178506,2026-05-02,2026-05-02 20:10:00,Colorado Rockies,Atlanta Braves,2.88,1.48,9.5,1.9,1.99,1.0,9.0,Finished,Atlanta Braves,Over,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
178499,2026-05-02,2026-05-02 20:40:00,San Diego Padres,Chicago White Sox,1.6,2.54,8.0,1.98,1.91,0.0,4.0,Finished,Chicago White Sox,Under,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
178504,2026-05-02,2026-05-02 21:38:00,Los Angeles Angels,New York Mets,2.09,1.85,7.5,1.87,2.02,4.0,3.0,Finished,Los Angeles Angels,Under,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
178498,2026-05-02,2026-05-02 21:40:00,Seattle Mariners,Kansas City Royals,1.75,2.23,8.0,1.98,1.91,2.0,3.0,Finished,Kansas City Royals,Under,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
